Board,Code,People,Year,Males,Females
SCOTLAND,S92000003,"5,438,100",2018,"2,648,751","2,789,349"
Ayrshire & Arran,S08000015,"369,670",2018,"177,216","192,454"
Borders,S08000016,"115,270",2018,"55,989","59,281"
Dumfries & Galloway,S08000017,"148,790",2018,"72,321","76,469"
Fife,S08000029,"371,910",2018,"180,620","191,290"
Forth Valley,S08000019,"306,070",2018,"149,167","156,903"
Grampian,S08000020,"584,550",2018,"290,728","293,822"
Greater Glasgow & Clyde,S08000031,"1,174,980",2018,"569,757","605,223"
Highland,S08000022,"321,800",2018,"158,307","163,493"
Lanarkshire,S08000032,"659,200",2018,"319,022","340,178"
Lothian,S08000024,"897,770",2018,"436,939","460,831"
Orkney,S08000025,"22,190",2018,"11,039","11,151"
Shetland,S08000026,"22,990",2018,"11,713","11,277"
Tayside,S08000030,"416,080",2018,"202,686","213,394"
Western Isles,S08000028,"26,830",2018,"13,247","13,583"
SCOTLAND,S92000003,"5,452,444",2019,"2,656,855","2,795,589"
Ayrshire & Arran,S08000015,"369,161",2019,"176,968","192,193"
Borders,S08000016,"115,372",2019,"56,044","59,328"
Dumfries & Galloway,S08000017,"148,507",2019,"72,213","76,294"
Fife,S08000029,"371,943",2019,"180,906","191,037"
Forth Valley,S08000019,"307,151",2019,"149,746","157,405"
Grampian,S08000020,"585,668",2019,"291,405","294,263"
Greater Glasgow & Clyde,S08000031,"1,178,956",2019,"571,934","607,022"
Highland,S08000022,"321,604",2019,"158,209","163,395"
Lanarkshire,S08000032,"660,132",2019,"319,608","340,524"
Lothian,S08000024,"905,458",2019,"440,868","464,590"
Orkney,S08000025,"22,239",2019,"11,061","11,178"
Shetland,S08000026,"22,997",2019,"11,740","11,257"
Tayside,S08000030,"416,587",2019,"203,000","213,587"
Western Isles,S08000028,"26,669",2019,"13,153","13,516"
SCOTLAND,S92000003,"5,464,679",2020,"2,664,180","2,800,499"
Ayrshire & Arran,S08000015,"368,549",2020,"176,696","191,853"
Borders,S08000016,"115,472",2020,"56,100","59,372"
Dumfries & Galloway,S08000017,"148,140",2020,"72,066","76,074"
Fife,S08000029,"371,882",2020,"181,132","190,750"
Forth Valley,S08000019,"308,248",2020,"150,313","157,935"
Grampian,S08000020,"586,466",2020,"291,951","294,515"
Greater Glasgow & Clyde,S08000031,"1,182,138",2020,"573,809","608,329"
