Code,Board,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
S92000003,Scotland,"2,685,340","2,677,205","2,669,045","2,664,257","2,658,376","2,649,449","2,643,617","2,633,121","2,635,025","2,637,405","2,638,815","2,640,348","2,644,041","2,648,868","2,650,337","2,645,170","2,641,018","2,638,079","2,635,415","2,631,014","2,630,467","2,630,365","2,630,412","2,637,697","2,648,926","2,657,936","2,673,441","2,687,602","2,699,931","2,713,982","2,729,600","2,736,310","2,741,020","2,751,070","2,762,531","2,777,197","2,784,500","2,789,349","2,800,297"
S08000015,Ayrshire and Arran,"196,774","196,147","195,938","196,082","195,906","195,707","195,951","195,890","196,127","196,148","196,240","195,851","195,814","195,845","195,769","195,119","194,994","194,676","193,971","192,937","192,743","192,500","192,526","192,823","193,003","193,087","193,724","194,246","194,288","194,511","194,865","194,546","193,999","193,403","193,011","192,958","192,800","192,454","192,311"
S08000016,Borders,"53,045","52,900","52,820","52,916","53,082","53,020","53,091","53,261","53,501","53,888","54,047","54,528","54,773","54,939","55,130","55,050","55,074","55,096","54,884","55,146","55,483","55,657","56,096","56,571","56,944","57,185","57,845","58,508","58,679","58,759","58,685","58,537","58,569","58,721","58,757","59,014","59,231","59,281","59,387"
S08000017,Dumfries and Galloway,"75,128","75,003","74,934","74,965","75,005","74,923","74,958","75,105","75,866","76,132","76,153","76,384","76,498","76,548","76,765","76,752","76,722","76,831","76,619","76,330","76,471","76,346","76,398","76,819","77,238","77,301","77,502","77,843","77,981","77,919","78,031","77,628","77,300","77,135","76,979","76,987","76,776","76,469","76,425"
S08000029,Fife,"176,158","176,271","176,795","177,566","177,628","177,425","177,490","177,559","178,151","178,891","179,366","179,681","180,226","181,008","181,169","180,621","180,186","180,247","180,457","181,235","182,005","182,649","182,633","183,349","184,356","185,001","185,555","186,176","186,806","187,412","188,325","188,762","188,929","189,338","190,033","190,778","191,098","191,290","192,136"
S08000019,Forth Valley,"140,890","140,618","140,378","140,423","140,328","140,091","140,404","140,169","140,249","140,841","140,760","140,860","141,216","141,563","142,013","142,461","143,172","143,713","144,394","144,804","145,075","145,716","146,240","147,095","148,458","149,371","150,419","151,121","151,620","152,420","153,340","153,730","153,879","154,275","155,337","156,206","156,744","156,903","157,013"
S08000020,Grampian,"248,372","251,075","252,739","254,492","255,819","256,904","256,858","256,096","258,286","259,409","261,651","265,267","268,387","270,786","271,249","270,964","269,595","268,253","268,025","266,818","266,178","266,738","267,745","269,321","271,770","274,083","277,323","279,542","282,399","285,341","287,808","289,772","292,015","294,605","296,045","295,955","294,723","293,822","294,417"
S08000031,Greater Glasgow and Clyde,"676,267","669,504","662,818","657,325","652,063","647,294","641,483","634,442","630,098","626,068","623,931","619,732","616,871","614,524","610,894","606,934","602,636","600,487","597,546","593,999","592,300","589,910","586,626","583,626","582,016","580,604","581,409","582,949","584,614","586,688","589,736","590,326","590,076","592,212","595,046","600,426","603,083","605,223","608,426"
S08000022,Highland,"145,953","145,795","146,564","147,344","148,112","148,591","148,654","149,043","149,647","150,409","151,387","151,785","152,369","153,008","153,319","153,489","153,308","153,431","153,434","152,984","153,061","153,050","154,112","156,046","157,789","158,984","160,536","161,495","162,216","163,184","164,052","163,584","163,497","163,265","163,348","163,735","163,684","163,493","163,389"
S08000032,Lanarkshire,"335,995","334,588","333,606","332,662","330,905","328,788","328,340","326,838","327,205","327,404","326,635","326,691","326,341","326,919","326,781","326,166","326,229","325,665","325,429","325,080","325,268","326,079","326,938","328,676","330,034","331,340","333,182","334,636","335,727","336,689","337,429","337,661","337,675","338,072","338,487","339,253","339,856","340,178","341,504"
S08000024,Lothian,"391,241","391,087","389,486","388,934","388,520","386,889","387,191","386,095","387,622","388,904","388,894","388,379","389,655","391,925","394,702","395,862","397,907","399,517","401,582","404,228","405,699","405,661","404,628","405,798","408,055","410,461","413,760","417,195","420,347","424,425","429,422","433,391","436,772","441,033","446,236","452,560","456,938","460,831","465,457"
S08000025,Orkney,"9,701","9,705","9,748","9,758","9,741","9,723","9,706","9,752","9,830","9,890","9,954","10,005","9,998","10,024","10,040","9,990","10,008","9,917","9,801","9,782","9,733","9,786","9,885","10,044","10,184","10,327","10,426","10,512","10,609","10,749","10,810","10,837","10,837","10,851","10,885","10,970","11,055","11,151","11,184"
S08000026,Shetland,"11,882","11,686","11,552","11,432","11,369","11,347","11,287","11,157","11,050","11,100","11,109","11,147","11,231","11,233","11,341","11,273","11,297","11,259","11,168","11,007","10,905","10,935","10,885","10,976","11,075","11,065","11,108","11,129","11,288","11,381","11,452","11,440","11,429","11,427","11,417","11,417","11,349","11,277","11,235"
S08000030,Tayside,"208,130","207,041","205,951","204,751","204,314","203,240","202,967","202,573","202,375","203,403","203,941","205,345","205,937","205,913","206,640","206,023","205,793","205,053","204,327","203,098","202,152","201,949","202,261","202,969","204,334","205,411","206,843","208,413","209,437","210,510","211,607","212,142","212,162","212,927","213,254","213,307","213,523","213,394","213,889"
S08000028,Western Isles,"15,804","15,785","15,716","15,607","15,584","15,507","15,237","15,141","15,018","14,918","14,747","14,693","14,725","14,633","14,525","14,466","14,097","13,934","13,778","13,566","13,394","13,389","13,439","13,584","13,670","13,716","13,809","13,837","13,920","13,994","14,038","13,954","13,881","13,806","13,696","13,631","13,640","13,583","13,524"
