Code,Board,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
S92000003,Scotland,"2,494,860","2,487,335","2,479,075","2,474,623","2,469,514","2,462,311","2,455,403","2,444,319","2,443,165","2,443,865","2,444,515","2,445,272","2,448,419","2,453,342","2,453,353","2,447,020","2,442,322","2,438,991","2,436,535","2,431,926","2,433,733","2,435,635","2,438,088","2,446,603","2,461,274","2,475,064","2,496,559","2,515,298","2,531,969","2,548,218","2,570,300","2,577,290","2,586,680","2,596,530","2,610,469","2,627,503","2,640,300","2,648,751","2,663,003"
S08000015,Ayrshire and Arran,"181,080","180,703","180,362","180,168","179,684","179,713","179,519","179,010","178,993","179,072","178,960","178,759","178,666","178,505","178,441","178,031","177,756","177,114","176,589","175,833","175,547","175,000","175,184","175,727","175,997","176,243","177,026","177,874","178,142","178,299","178,895","178,674","178,241","177,737","177,579","177,602","177,610","177,216","177,049"
S08000016,Borders,"48,211","48,180","48,230","48,314","48,528","48,560","48,769","48,869","49,099","49,482","49,783","50,012","50,267","50,511","50,810","50,810","50,886","50,944","50,926","51,104","51,467","51,873","52,294","52,879","53,306","53,675","54,355","54,852","54,911","54,941","55,195","55,183","55,311","55,319","55,273","55,516","55,789","55,989","56,123"
S08000017,Dumfries and Galloway,"70,374","70,347","70,376","70,395","70,415","70,247","70,262","70,255","70,844","71,018","71,017","71,266","71,442","71,582","71,755","71,768","71,798","71,909","71,611","71,210","71,309","71,324","71,462","71,881","72,382","72,469","72,868","73,167","73,179","73,181","73,379","73,212","72,980","72,825","72,691","72,533","72,424","72,321","72,435"
S08000029,Fife,"165,431","166,029","167,005","167,734","167,772","168,065","167,990","167,611","167,819","168,079","167,994","168,229","169,034","169,182","168,551","166,809","166,354","166,293","166,573","167,105","167,765","168,091","168,727","169,701","171,104","172,259","173,185","173,864","174,614","175,198","176,975","177,448","177,971","177,912","178,047","179,552","180,312","180,620","181,414"
S08000019,Forth Valley,"132,735","132,652","132,572","132,467","132,122","131,839","131,686","131,171","130,821","130,969","130,770","130,760","130,844","131,287","131,657","132,199","132,778","133,257","133,866","134,176","134,465","134,974","135,790","136,805","138,342","139,349","140,931","141,899","142,570","143,590","144,740","145,360","145,791","146,125","147,313","148,274","148,836","149,167","149,627"
S08000020,Grampian,"236,527","239,155","241,441","243,038","245,141","246,796","246,772","246,274","248,014","249,341","252,329","256,223","259,483","262,124","262,571","261,806","260,885","260,417","260,645","260,262","259,672","260,462","261,615","262,569","264,590","267,507","270,977","274,148","276,801","279,509","281,772","283,628","287,185","289,615","291,775","292,145","291,657","290,728","291,283"
S08000031,Greater Glasgow and Clyde,"618,095","612,416","605,882","600,075","594,907","590,136","584,317","577,798","572,312","567,812","565,559","561,258","557,779","555,496","551,506","547,386","542,654","540,003","536,704","532,951","534,390","532,890","529,844","528,384","528,794","528,196","530,591","533,891","537,716","541,152","545,664","546,994","547,844","550,378","554,844","560,944","566,027","569,757","574,694"
S08000022,Highland,"139,898","140,125","140,896","141,636","142,498","143,029","143,016","143,897","144,693","145,371","145,923","145,565","145,541","146,282","146,851","146,901","146,972","147,089","147,406","147,196","147,159","147,730","148,458","149,094","150,611","152,656","154,254","155,385","155,984","156,166","157,608","156,216","157,483","157,465","157,652","158,165","158,306","158,307","158,311"
S08000032,Lanarkshire,"315,654","314,202","313,294","311,958","310,125","307,912","306,720","304,892","304,405","304,116","302,795","302,369","301,809","302,131","301,599","300,894","300,721","299,845","299,311","298,580","298,252","299,211","300,242","302,384","303,956","305,850","308,348","309,954","311,613","312,771","314,191","314,559","314,915","315,228","316,003","317,237","318,274","319,022","320,396"
S08000024,Lothian,"358,240","357,373","355,244","355,756","355,140","353,461","354,119","352,945","355,048","356,376","356,436","356,351","358,235","360,405","363,328","365,078","366,873","368,403","370,108","372,272","373,481","374,149","374,282","376,012","379,205","382,529","387,690","391,745","396,163","401,095","407,188","410,349","412,948","417,087","421,564","427,440","432,512","436,939","442,123"
S08000025,Orkney,"9,481","9,395","9,442","9,432","9,439","9,357","9,364","9,418","9,440","9,470","9,566","9,665","9,712","9,726","9,770","9,740","9,762","9,673","9,619","9,508","9,487","9,544","9,655","9,786","9,886","10,013","10,154","10,228","10,331","10,471","10,610","10,693","10,723","10,729","10,785","10,880","10,945","11,039","11,086"
S08000026,Shetland,"14,465","12,414","10,748","10,768","10,931","11,053","11,113","11,143","11,150","11,290","11,421","11,453","11,529","11,557","11,629","11,587","11,533","11,441","11,342","11,173","11,055","11,065","11,065","11,114","11,175","11,145","11,242","11,351","11,512","11,679","11,788","11,770","11,771","11,793","11,783","11,783","11,731","11,713","11,685"
S08000030,Tayside,"188,925","188,639","187,919","187,309","187,326","186,680","186,533","185,917","185,595","186,647","187,379","188,815","189,543","190,067","190,600","189,877","189,537","188,997","188,403","187,332","186,628","186,361","186,479","187,201","188,666","189,829","191,537","193,497","194,933","196,560","198,643","199,598","199,998","200,873","201,786","202,163","202,567","202,686","203,581"
S08000028,Western Isles,"15,744","15,705","15,664","15,573","15,486","15,463","15,223","15,119","14,932","14,822","14,583","14,547","14,535","14,487","14,285","14,134","13,813","13,606","13,432","13,224","13,056","12,961","12,991","13,066","13,260","13,344","13,401","13,443","13,500","13,606","13,652","13,606","13,519","13,444","13,374","13,269","13,310","13,247","13,196"
