Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2015Q3,,SB0801,,D102H,,Elective Inpatients,,1967,5655,2.874936451,,1934,9505,4.914684592,
2015Q4,,SB0801,,D102H,,Elective Inpatients,,2037,6000,2.9455081,,2050,10407,5.076585366,
2016Q1,,SB0801,,D102H,,Elective Inpatients,,2045,5622,2.749144254,,2018,9961,4.936075322,
2016Q2,,SB0801,,D102H,,Elective Inpatients,,2031,5686,2.799606105,,2032,10084,4.962598425,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,1998,5545,2.775275275,,2014,9853,4.89225422,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,1847,4992,2.702761234,,1887,9020,4.780074192,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,1967,5179,2.632943569,,1948,8659,4.445071869,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,1865,4524,2.425737265,,1898,9163,4.827713383,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,1874,4937,2.634471718,,1905,8723,4.579002625,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,1980,5009,2.52979798,,2007,9703,4.834578974,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,1983,5157,2.600605144,,1950,8999,4.614871795,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,2012,5083,2.526341948,,2005,9099,4.538154613,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,2085,4892,2.346282974,,2128,9728,4.571428571,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,2111,4825,2.285646613,,2138,8671,4.055659495,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,2087,4400,2.108289411,,2110,8187,3.880094787,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,1961,4314,2.199898011,,1961,8090,4.125446201,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,1875,4305,2.296,,1891,9167,4.84769963,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,1824,4332,2.375,,1875,9610,5.125333333,
2020Q1,,SB0801,,D102H,,Elective Inpatients,,1713,3632,2.120256859,,1720,8058,4.684883721,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,651,1392,2.138248848,,629,4051,6.440381558,
2020Q3,p,SB0801,,D102H,,Elective Inpatients,,1182,2484,2.101522843,,1192,6104,5.120805369,
2015Q3,,SB0801,,SB0801,d,Elective Inpatients,,1967,5655,2.874936451,,1934,9505,4.914684592,
2015Q4,,SB0801,,SB0801,d,Elective Inpatients,,2037,6000,2.9455081,,2050,10407,5.076585366,
2016Q1,,SB0801,,SB0801,d,Elective Inpatients,,2045,5622,2.749144254,,2018,9961,4.936075322,
2016Q2,,SB0801,,SB0801,d,Elective Inpatients,,2031,5686,2.799606105,,2032,10084,4.962598425,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,1998,5545,2.775275275,,2014,9853,4.89225422,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,1847,4992,2.702761234,,1887,9020,4.780074192,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,1967,5179,2.632943569,,1948,8659,4.445071869,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,1865,4524,2.425737265,,1898,9163,4.827713383,
