Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2015Q3,,SB0801,,D102H,,Elective Inpatients,,1,,428,1097,2.563084112,,421,2341,5.560570071,
2015Q4,,SB0801,,D102H,,Elective Inpatients,,1,,447,1299,2.906040268,,452,2641,5.842920354,
2016Q1,,SB0801,,D102H,,Elective Inpatients,,1,,474,1217,2.567510549,,474,2499,5.272151899,
2016Q2,,SB0801,,D102H,,Elective Inpatients,,1,,447,1221,2.731543624,,440,2106,4.786363636,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,1,,393,855,2.175572519,,402,2524,6.278606965,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,1,,395,1045,2.64556962,,401,2021,5.039900249,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,1,,431,1006,2.334106729,,427,1990,4.660421546,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,1,,392,901,2.298469388,,392,2090,5.331632653,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,1,,364,968,2.659340659,,368,1811,4.921195652,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,1,,422,946,2.241706161,,440,2144,4.872727273,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,1,,434,1086,2.502304147,,417,1958,4.695443645,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,1,,444,1049,2.362612613,,437,2103,4.812356979,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,1,,439,855,1.9476082,,460,2293,4.984782609,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,1,,447,901,2.015659955,,457,1939,4.242888403,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,1,,479,981,2.048016701,,480,1995,4.15625,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,1,,441,863,1.9569161,,444,2093,4.713963964,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,1,,404,911,2.254950495,,407,2378,5.842751843,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,1,,390,791,2.028205128,,399,2231,5.591478697,
2020Q1,,SB0801,,D102H,,Elective Inpatients,,1,,356,664,1.865168539,,357,1761,4.932773109,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,1,,180,303,1.683333333,,163,957,5.871165644,
2020Q3,p,SB0801,,D102H,,Elective Inpatients,,1,,298,610,2.046979866,,310,1730,5.580645161,
2015Q3,,SB0801,,D102H,,Elective Inpatients,,2,,443,1210,2.731376975,,430,2067,4.806976744,
2015Q4,,SB0801,,D102H,,Elective Inpatients,,2,,439,1267,2.886104784,,450,2441,5.424444444,
2016Q1,,SB0801,,D102H,,Elective Inpatients,,2,,443,1204,2.717832957,,435,2003,4.604597701,
2016Q2,,SB0801,,D102H,,Elective Inpatients,,2,,444,1186,2.671171171,,439,2512,5.722095672,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,2,,492,1331,2.705284553,,490,2275,4.642857143,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,2,,414,1187,2.867149758,,427,2244,5.255269321,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,2,,411,1289,3.136253041,,401,1805,4.501246883,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,2,,392,920,2.346938776,,404,2139,5.294554455,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,2,,420,1016,2.419047619,,428,1977,4.619158879,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,2,,453,1176,2.59602649,,458,2343,5.115720524,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,2,,393,886,2.254452926,,398,1650,4.145728643,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,2,,430,1013,2.355813953,,428,1951,4.558411215,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,2,,432,973,2.252314815,,442,1994,4.511312217,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,2,,443,1012,2.284424379,,455,1819,3.997802198,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,2,,407,803,1.972972973,,412,1668,4.048543689,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,2,,405,905,2.234567901,,400,1694,4.235,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,2,,384,792,2.0625,,392,1877,4.788265306,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,2,,368,837,2.274456522,,384,2157,5.6171875,
